Catégorie,Nom,Description,Localisation,Histoire,Créatures Notables,Personnages Notables,Organisations Notables,Autres Détails
Région,Varisie,"Une région sauvage et diverse, connue pour ses mystères et ses ruines anciennes.","Nord-ouest de l'Avistan","Anciennement dominée par l'empire Thassilonien, la Varisie est maintenant un mélange de cités-états indépendantes et de territoires tribaux.","Rune Giants, Lamias","Nualia Tobyn, Sandpoint Heroes","L'Académie des Étoiles Écarlates, la Ligue de Fer","La Varisie abrite la célèbre ville de Magnimar et les mystérieuses ruines de Thistletop."
Région,Cheliax,"Un empire puissant et diabolique, dirigé par la maison Thrune et dédié à l'invocation diabolique.","Sud-ouest de l'Avistan","Autrefois une grande puissance humaine, Cheliax est maintenant connue pour son pacte avec les diables et son gouvernement tyrannique.","Diables, Infernaux","Reine Abrogail II, Gorthoklek","La Maison Thrune, Les Chevaliers Infernaux","Cheliax est célèbre pour sa capitale, Egorian, et ses rituels sombres."
Région,Mendev,"Une région marquée par les croisades contre les démons de la Plaie du Monde.","Nord-est de l'Avistan","Connue pour ses croisades saintes, Mendev est un bastion contre les forces démoniaques.","Démons, Balors","Reine Galfrey, Hulrun Shappok","La Croisade d'Argent, Les Gardiens de la Frontière","La ville fortifiée de Nerosyan est un point focal des efforts de défense contre les démons."
Région,Osirion,"Un ancien empire inspiré de l'Égypte antique, ressuscité dans une nouvelle ère de gloire.","Nord de Garund","Osirion a une histoire riche de pharaons et de tombes anciennes, maintenant redécouvertes sous la dynastie Keleshite.","Momies, Sphinx","Pharaon Khemet III","La Société des Éclaireurs, Les Érudits de Sothis","La capitale, Sothis, est célèbre pour sa grande pyramide noire."
Région,Brevoy,"Un royaume fracturé par des conflits internes et des intrigues politiques.","Nord de l'Avistan","Formé de l'union fragile de deux nations, Issie et Rostie, Brevoy est un foyer de tensions politiques.","Dragons, Bandits","Chancelier Noleski Surtova, Maegar Varn","Les Épéistes d'Issia, Les Seigneurs de Restov","Le lac des Brumes et des Voiles et la forteresse de Fort Defiance sont des lieux clés."
Région,Nex,"Une terre de magie avancée et de rivalités arcanes, souvent en conflit avec le Geb voisin.","Sud-est de Garund","Fondée par le magicien Nex, cette région est connue pour ses merveilles magiques et ses conflits incessants avec Geb.","Golems, Simulacres","Nex (le magicien), Arclord Avidexu","L'Académie Arcanamirium, Les Sorciers de Quantium","Quantium, la capitale, est un centre de recherche magique avancée."
Région,Geb,"Un royaume de morts-vivants dirigé par le nécromancien éponyme Geb.","Sud-est de Garund, au sud de Nex","Geb est une terre où les morts-vivants règnent, constamment en conflit avec Nex.","Liches, Vampires","Geb (le nécromancien), Arazni la Reine Lich","Les Chevaliers Ossifiés, La Garde Sépulcrale","La capitale, Mechitar, est connue pour ses marchés macabres et ses nécropoles."
Région,Andoran,"Une nation démocratique et libre, souvent en opposition avec Cheliax.","Sud-ouest de l'Avistan","Andoran s'est libérée du joug de Cheliax pour devenir une république prospère.","Hippogriffes, Gardiens d'Arbre","Président Codwin I, Talmandor","Les Aigles d'Or, La Ligue de l'Exploit","La forêt de Verduran et la capitale Almas sont des symboles de liberté et de résistance."
Région,Le Royaume des Griffes du Monde,"Une région arctique habitée par des tribus nomades et des créatures glaciales.","Extrême nord de l'Avistan","Connue pour ses conditions extrêmes et ses tribus barbares, cette région est souvent oubliée par les nations du sud.","Linnorms, Géants de Glace","Suérus, Amiri","Les Gardiens du Glacier, Les Éclaireurs de la Toundra","Les terres glacées et les montagnes impitoyables définissent cette région."
Région,Sargava,"Une ancienne colonie de Cheliax, maintenant indépendante et en quête de sa propre identité.","Sud-ouest de Garund","Sargava a gagné son indépendance après des siècles sous le joug de Cheliax, cherchant à forger sa propre voie.","Créatures de la jungle, Pirates","Baron Utilinus, Ieana","Les Libérateurs de Sargava, Les Flibustiers de l'Ouest","La capitale, Eleder, est un point de rencontre de cultures et de commerce maritime."
Région,Taldor,"Un ancien empire en déclin, autrefois l'une des plus grandes puissances de l'Avistan.","Centre-sud de l'Avistan","Taldor a une histoire glorieuse mais est maintenant marqué par la corruption et le déclin.","Sphinx, Cockatrices","Grand Prince Stavian III, Martella Lotheed","Les Lions d'Arbor, Les Lames d'Ébène","Oppara, la capitale, est connue pour ses magnifiques palais et son héritage impérial."
Région,Katapesh,"Un marché mondial où tout peut être acheté pour le bon prix, y compris des objets illégaux et exotiques.","Sud de Garund","Katapesh est un centre de commerce prospère, connu pour son bazar massif et ses marchés d'esclaves.","Génies, Sphinx","Pacha Muhlia Al-Jakri, Almah Roveshki","Les Marchands de l'Absolu, La Garde du Crépuscule","Katapesh est également le site du légendaire marché nocturne où des marchandises magiques sont vendues."
Région,Irrisen,"Un pays de glace éternelle dirigé par les sorcières de Baba Yaga.","Nord-ouest de l'Avistan","Fondée par la sorcière légendaire Baba Yaga, Irrisen est un royaume de glace et de magie.","Fées de l'hiver, Trolls de glace","Reine Elvanna, Baba Yaga","Les Sorcières de l'Hiver, Les Chevaliers de l'Hiver","La capitale Whitethrone est célèbre pour son palais de glace et ses nombreux secrets."
Région,Les Royaumes Fluviaux,"Un ensemble de cités-états indépendantes connues pour leur anarchie et leur liberté.","Centre-est de l'Avistan","Les Royaumes Fluviaux sont un refuge pour les exilés, les aventuriers et ceux cherchant la liberté.","Bandits, Nymphes","Hannibal Trask, Kessilandrie","Les Compagnons de la Rivière, La Ligue des Pirates","Les cités comme Daggermark et Pitax sont célèbres pour leurs intrigues politiques et leur anarchie."
Région,Le Mwangi Expanse,"Une vaste jungle tropicale abritant des civilisations anciennes et des mystères cachés.","Centre de Garund","Le Mwangi Expanse est un territoire vaste et sauvage, avec des ruines anciennes et des peuples indigènes.","Dinosaures, Tribes Simians","Mwangi Chieftains, Old-Mage Jatembe","Les Guerriers de Mzali, Les Érudits de Nantambu","Les ruines de la cité d'Usaro et le lac Ocota sont des lieux d'une grande importance."
Région,Razmiran,"Un théocratie dirigée par le tyrannique dieu auto-proclamé Razmir.","Nord-est de l'Avistan","Razmiran est contrôlée par Razmir et ses prêtres, imposant leur foi et extorquant la population.","Prêtres fanatiques, Rôdeurs morts-vivants","Razmir, Dumedion","Les Prêtres de Razmir, Les Chevaliers de la Foi","La ville de Thronestep est le centre du pouvoir de Razmir et de son culte oppressif."
Région,Ustalav,"Un royaume gothique hanté par des horreurs et des légendes sombres.","Nord-est de l'Avistan","Anciennement occupé par le tyran lich Whispering Tyrant, Ustalav est maintenant un royaume de mystères et de superstitions.","Vampires, Liches","Comte Neska, Whispering Tyrant","Les Pharasmiens, Les Chevaliers de l'Aube","La capitale Caliphas est connue pour ses brumes perpétuelles et ses châteaux gothiques."
